Trap;Adress;District;Full_coord;latitude;longitude
01A;13650 Notre-Dame St. East, Pointe-aux-Trembles, QC H1A 1T1;Rivières-des-prairies--Pointe-aux-trembles;45.662103160709954, -73.49337243092627;45.662103160709954; -73.49337243092627
02A;8140 Avenue de Dalkeith, Anjou, QC H1K 1P9;Anjou;45.603943113111825, -73.5501859991281;45.603943113111825; -73.5501859991281
03A;5627 Rue Roy, Montréal-Nord, QC H1G 1H2;Montréal-Nord;45.616067123387545, -73.6308955688634;45.616067123387545; -73.6308955688634
04A;11258 Boulevard Saint-Vital, Montréal-Nord, QC;Montréal-Nord;45.59091769630467, -73.64690959613523;45.59091769630467; -73.64690959613523
05B;8857 Rue de Provence, Saint-Léonard, QC H1R 2W2;Saint-Léonard;45.58563156316414, -73.60990226544294;45.58563156316414; -73.60990226544294
06C;6520 Assumption Blvd, Montreal, QC H1T 1P3;Rosemont;45.576367742198975, -73.56842386761576;45.576367742198975; -73.56842386761576
07A;7208 Ave Papineau, Montréal, QC H2E 2G6;Villeray;45.548403182181474, -73.60826840922812;45.548403182181474; -73.60826840922812
08A;424 Rue Saint-Roch, Montréal, QC H3N 1K4;Villeray;45.53153543868532, -73.62831106448247;45.53153543868532; -73.62831106448247
09B;10476 Rue Garnier, Montréal, QC;Ahunstic;45.56711344062194, -73.65708287871598;45.56711344062194; -73.65708287871598
10A;650 Rue Deguire, Saint-Laurent, QC H4L 1L2;Saint-Laurent;45.52543024100367, -73.68140432878259;45.52543024100367; -73.68140432878259
11B;1327 Laurier Ave E, Montreal, QC H2J 1H4;Le Plateau-Mont-Royal;45.53332034164296, -73.5840177769513;45.53332034164296; -73.5840177769513
12B;1019 St Catherine St E, Montreal, QC H2L 2G3;Ville-Marie;45.51743475511414, -73.55721093067822;45.51743475511414; -73.55721093067822
12C;1405 Berri St, Montreal, QC H2L 0B5;Ville-Marie;45.51479835281996, -73.560273110032;45.51479835281996; -73.560273110032
13A;2796 Chemin de la Côte-Sainte-Catherine, Montréal, QC H3T 1B8;Côte-des-Neiges-Notre-Dame-de-Grâce;45.505674484405, -73.62097643480557;45.505674484405; -73.62097643480557
14A;7053 Av Fielding, Montréal, QC H4V 1R1;Côte-des-Neiges-Notre-Dame-de-Grâce;45.46276916648128, -73.64730758479867;45.46276916648128; -73.64730758479867
15B;1223 Rue Stephens, Verdun, QC H4H 2H2;Verdun;45.445145, -73.582706;45.445145;-73.582706
16A;4223 Boulevard LaSalle, Verdun, QC H4G 2A7;Verdun;45.46142051188864, -73.56290384474947;45.46142051188864; -73.56290384474947
17C;4575 Rue Provost, Lachine, QC H8T 1M6;Lachine;45.441775113380864, -73.70709225856366;45.441775113380864; -73.70709225856366
18B;592 Shakespeare St, Dollard-Des Ormeaux, QC H9G 1A5;Dollard-des-Ormeaux;45.47551834720348, -73.852966258698;45.47551834720348; -73.852966258698
19B;4976 Rue Jordi-bonet, Pierrefonds, QC H9K 1B7;Pierrefonds-Roxboro;45.45885763156407, -73.92169179041167;45.45885763156407; -73.92169179041167
20C;37 Phillips Ave, Senneville, QC H9X 3X8;Senneville;45.441856255232295, -73.95367806222683;45.441856255232295; -73.95367806222683
21B;5365 Av. Van Horne, Montréal, QC H3X 1G2;Côte-des-Neiges-Notre-Dame-de-Grâce;45.48829326401679, -73.64343232185472;45.48829326401679; -73.64343232185472
22A;1767 Rue Saint-Jacques, Montréal, QC H3J 1G9;Le Sud-Ouest;45.490242, -73.571217;45.490242; -73.571217
23A;4165 Pl. Victor-Barbeau, Saint-Laurent, QC H4R 2Y3;Saint-Laurent;45.506039297138344, -73.72935567359296;45.506039297138344; -73.72935567359296
24B;1831 Av. Haig, Montréal, QC H1N 3E1;Mercier-Hochelaga-Maisonneuve;45.579190, -73.520311;45.579190; -73.520311
